time,Longitude,Latitude,Altitude (m),Speed (km/h),Total Distance (km)
54:16.0,-1.889479,52.488573,121.8,4.8,0.238
54:17.0,-1.889472,52.488585,121.6,4.6,0.239
54:18.0,-1.889465,52.488596,121.7,4.7,0.24
54:19.0,-1.889458,52.488608,121.9,4.8,0.242
54:20.0,-1.889451,52.48862,122.0,4.7,0.243
54:21.0,-1.889446,52.488627,122.0,4.7,0.244
54:30.0,-1.889383,52.488733,122.1,4.6,0.256
54:31.0,-1.889376,52.488744,122.3,4.5,0.257
54:32.0,-1.889369,52.488756,122.1,4.8,0.258
54:33.0,-1.889362,52.488768,122.1,4.7,0.259
54:34.0,-1.889355,52.48878,122.2,4.6,0.261
54:35.0,-1.889348,52.488792,122.1,4.7,0.262
54:36.0,-1.889341,52.488802,122.1,4.5,0.263
54:37.0,-1.889334,52.488814,122.1,4.6,0.264
54:38.0,-1.889327,52.488825,122.0,4.5,0.266
54:39.0,-1.889321,52.488837,122.0,4.7,0.267
54:40.0,-1.889313,52.488849,121.9,4.7,0.268
54:58.0,-1.889192,52.489052,122.0,4.5,0.291
54:59.0,-1.889185,52.489063,121.9,4.5,0.292
55:00.0,-1.889178,52.489075,121.7,4.8,0.293
55:01.0,-1.889171,52.489086,121.6,4.4,0.295
55:02.0,-1.889164,52.489098,121.4,4.7,0.296
55:03.0,-1.889157,52.489109,121.4,4.6,0.297
55:04.0,-1.88915,52.489121,121.5,4.6,0.299
55:05.0,-1.889143,52.489132,121.5,4.4,0.3
55:06.0,-1.889136,52.489144,121.2,4.8,0.301
55:07.0,-1.889129,52.489155,121.2,4.6,0.302
55:08.0,-1.889122,52.489167,121.2,4.7,0.304
55:09.0,-1.889119,52.489172,121.1,4.7,0.304
55:17.0,-1.889061,52.489269,121.3,4.6,0.315
55:18.0,-1.889054,52.489281,121.4,4.8,0.316
55:19.0,-1.889047,52.489293,121.3,4.6,0.318
55:20.0,-1.88904,52.489305,121.3,4.5,0.319
55:21.0,-1.889033,52.489316,121.4,4.6,0.32
55:22.0,-1.889026,52.489328,121.3,4.6,0.322
55:23.0,-1.889019,52.489339,121.4,4.4,0.323
55:24.0,-1.889012,52.48935,121.4,4.6,0.324
55:25.0,-1.889006,52.489361,121.3,4.7,0.325
55:26.0,-1.888999,52.489373,121.4,4.7,0.327
55:27.0,-1.888992,52.489385,121.3,4.6,0.328
55:36.0,-1.888929,52.489489,121.3,4.6,0.339
55:37.0,-1.888922,52.489501,121.2,4.6,0.341
55:38.0,-1.888915,52.489513,121.2,4.6,0.342
55:39.0,-1.888907,52.489526,121.2,4.8,0.344
55:40.0,-1.8889,52.489537,121.1,4.7,0.345
55:41.0,-1.888893,52.489549,121.0,4.4,0.346
55:42.0,-1.888887,52.48956,120.8,4.7,0.347
55:43.0,-1.88888,52.489572,120.7,4.7,0.349
55:44.0,-1.888873,52.489582,120.8,4.5,0.35
55:45.0,-1.888866,52.489594,120.7,4.5,0.351
55:46.0,-1.88886,52.489604,120.8,4.5,0.352
33:44.0,-1.669892,52.85455,120.8,7.4,40.861
33:45.0,-1.669876,52.854577,120.7,10.0,40.864
33:46.0,-1.669863,52.8546,120.7,9.8,40.867
33:47.0,-1.669848,52.854625,120.7,9.4,40.869
33:48.0,-1.669833,52.854649,120.7,10.1,40.872
33:49.0,-1.669818,52.854674,120.7,9.5,40.875
33:50.0,-1.669804,52.854698,120.8,9.8,40.878
33:51.0,-1.669789,52.854723,120.7,10.2,40.88
33:52.0,-1.669771,52.854752,120.8,11.6,40.884
33:53.0,-1.669756,52.854778,120.8,10.4,40.887
33:54.0,-1.669741,52.854803,120.8,13.3,40.889
34:01.0,-1.669562,52.855101,120.7,17.0,40.922
34:02.0,-1.669537,52.855143,120.6,16.7,40.927
34:03.0,-1.669512,52.855185,120.7,16.7,40.932
34:04.0,-1.669488,52.855224,120.7,15.7,40.936
34:05.0,-1.669464,52.855265,120.7,16.3,40.941
34:06.0,-1.66944,52.855304,120.7,15.7,40.945
34:07.0,-1.669415,52.855346,120.6,16.7,40.95
34:08.0,-1.669391,52.855386,120.6,16.2,40.954
34:09.0,-1.669366,52.855428,120.5,16.5,40.959
34:10.0,-1.669343,52.855467,120.6,15.7,40.963
34:11.0,-1.669318,52.855508,120.6,16.3,40.968
34:12.0,-1.669308,52.855524,120.7,16.7,40.969
34:20.0,-1.669122,52.855835,120.6,14.7,41.004
34:21.0,-1.669097,52.855875,120.6,15.4,41.008
34:22.0,-1.66908,52.855905,120.6,12.6,41.012
34:23.0,-1.669063,52.855932,120.5,10.2,41.015
34:24.0,-1.669047,52.855959,120.6,11.1,41.018
34:25.0,-1.669032,52.855984,120.5,9.7,41.02
34:26.0,-1.669017,52.85601,120.3,10.7,41.023
34:27.0,-1.668999,52.85604,120.3,11.5,41.027
34:28.0,-1.668983,52.856066,120.2,10.7,41.029
34:29.0,-1.668963,52.856099,120.1,12.9,41.033
34:30.0,-1.668945,52.856129,120.1,12.7,41.036
34:31.0,-1.668933,52.856149,120.1,12.6,41.039
34:40.0,-1.668762,52.856435,120.2,13.7,41.07
34:41.0,-1.668739,52.856472,120.3,16.1,41.075
34:42.0,-1.668715,52.856512,120.2,14.7,41.079
34:43.0,-1.668693,52.85655,120.1,16.4,41.083
34:44.0,-1.668666,52.856594,120.1,16.4,41.088
34:45.0,-1.668644,52.856631,120.1,16.1,41.092
34:46.0,-1.668618,52.856674,120.1,16.2,41.097
34:47.0,-1.668596,52.856711,120.1,15.7,41.101
34:48.0,-1.66857,52.856755,119.9,16.3,41.106
34:49.0,-1.66855,52.856788,119.8,14.7,41.11
34:50.0,-1.668527,52.856826,119.7,13.6,41.114
34:51.0,-1.668518,52.856842,119.7,12.5,41.116
35:01.0,-1.668335,52.857146,119.7,11.5,41.149
35:02.0,-1.66832,52.85717,119.6,10.0,41.152
35:03.0,-1.668301,52.857202,119.5,12.7,41.156
35:04.0,-1.668278,52.857241,119.5,15.5,41.16
35:05.0,-1.668254,52.85728,119.5,15.7,41.164
35:06.0,-1.66823,52.857321,119.6,16.1,41.169
35:07.0,-1.668207,52.857359,119.7,15.5,41.173
35:08.0,-1.668183,52.8574,119.8,16.2,41.178
35:09.0,-1.66816,52.857438,119.7,15.2,41.182
35:10.0,-1.668136,52.857478,119.5,16.0,41.186
35:11.0,-1.668112,52.857517,119.4,15.6,41.191
35:12.0,-1.668102,52.857534,119.4,16.6,41.192
35:26.0,-1.667711,52.858186,119.3,17.0,41.265
35:27.0,-1.667691,52.85822,119.4,13.5,41.269
35:28.0,-1.667673,52.85825,119.2,11.9,41.272
35:29.0,-1.667655,52.858279,119.3,11.8,41.275
35:30.0,-1.667633,52.858317,119.5,14.9,41.279
35:31.0,-1.667609,52.858355,119.4,15.5,41.284
35:32.0,-1.667584,52.858397,119.2,16.8,41.288
35:33.0,-1.667561,52.858436,119.1,15.3,41.293
35:34.0,-1.667536,52.858477,119.1,16.6,41.297
35:35.0,-1.667512,52.858517,119.3,15.8,41.302
35:36.0,-1.667488,52.858558,119.3,16.2,41.306
35:37.0,-1.667484,52.858565,119.4,14.5,41.307
35:53.0,-1.667042,52.859301,119.5,17.4,41.389
35:54.0,-1.667018,52.859342,119.4,16.4,41.393
35:55.0,-1.667002,52.859368,119.3,10.5,41.396
35:56.0,-1.666985,52.859396,119.3,11.3,41.399
35:57.0,-1.666963,52.859433,119.3,14.6,41.403
35:58.0,-1.666941,52.85947,119.3,14.7,41.407
35:59.0,-1.666919,52.859506,119.2,14.7,41.411
36:00.0,-1.666897,52.859543,119.4,14.5,41.415
36:01.0,-1.666878,52.859575,119.4,12.9,41.419
36:02.0,-1.666857,52.859609,119.4,13.5,41.423
36:03.0,-1.666834,52.859647,119.5,15.2,41.427
36:04.0,-1.666821,52.85967,119.5,15.0,41.429
36:23.0,-1.666469,52.860255,119.6,12.3,41.494
36:24.0,-1.666448,52.860292,119.6,14.6,41.499
36:25.0,-1.666425,52.860329,119.5,15.1,41.503
36:26.0,-1.666401,52.86037,119.3,16.3,41.507
36:27.0,-1.666377,52.86041,119.2,16.0,41.512
36:28.0,-1.666352,52.860451,119.1,16.4,41.516
36:29.0,-1.666328,52.860491,119.1,15.8,41.521
36:30.0,-1.666304,52.860532,119.0,16.4,41.525
36:31.0,-1.66628,52.860571,118.9,15.7,41.53
36:32.0,-1.666256,52.86061,118.7,15.7,41.534
36:33.0,-1.666234,52.860648,118.7,15.1,41.538
36:34.0,-1.666226,52.860661,118.7,13.6,41.54
37:01.0,-1.6656,52.861704,118.7,15.0,41.655
37:02.0,-1.665578,52.861741,118.7,14.7,41.659
37:03.0,-1.665556,52.861777,118.9,14.6,41.663
37:04.0,-1.665538,52.861807,119.0,12.1,41.667
37:05.0,-1.665522,52.861835,119.0,10.9,41.67
37:06.0,-1.665508,52.861858,119.0,9.4,41.672
37:07.0,-1.66549,52.861887,118.9,11.6,41.676
37:08.0,-1.665467,52.861925,118.9,15.3,41.68
37:09.0,-1.665444,52.861965,119.0,15.7,41.684
37:10.0,-1.665425,52.861996,119.0,12.6,41.688
37:11.0,-1.665412,52.862017,119.0,10.4,41.69
37:26.0,-1.665192,52.862385,119.0,9.6,41.731
37:27.0,-1.665177,52.862409,119.1,9.7,41.734
37:28.0,-1.665163,52.862433,119.1,9.7,41.736
37:29.0,-1.665147,52.862459,119.0,10.4,41.739
37:30.0,-1.665131,52.862485,119.1,10.5,41.742
37:31.0,-1.665112,52.862518,119.0,12.9,41.746
37:32.0,-1.665089,52.862556,119.0,15.1,41.75
37:33.0,-1.665065,52.862595,119.0,15.8,41.754
37:34.0,-1.665043,52.862633,119.0,15.0,41.758
37:35.0,-1.665023,52.862667,119.0,13.5,41.762
37:36.0,-1.665005,52.862697,118.9,12.0,41.765
37:37.0,-1.664995,52.862712,118.8,10.3,41.767
37:48.0,-1.664817,52.863009,118.8,10.5,41.8
37:49.0,-1.664799,52.863039,118.8,13.3,41.804
37:50.0,-1.664773,52.863082,118.8,16.1,41.808
37:51.0,-1.664751,52.863119,118.9,15.5,41.812
37:52.0,-1.664726,52.863161,118.8,15.7,41.817
37:53.0,-1.664705,52.863196,118.9,15.4,41.821
37:54.0,-1.66468,52.863238,118.8,15.5,41.826
37:55.0,-1.664659,52.863272,118.7,14.7,41.829
37:56.0,-1.664639,52.863307,118.6,12.6,41.833
37:57.0,-1.664623,52.863333,118.6,11.0,41.836
37:58.0,-1.664607,52.863359,118.6,10.0,41.839
37:59.0,-1.664599,52.863373,118.6,9.4,41.841
38:12.0,-1.664385,52.863729,118.6,10.7,41.88
38:13.0,-1.664369,52.863756,118.6,10.3,41.883
38:14.0,-1.664356,52.863778,118.6,10.2,41.885
38:15.0,-1.664339,52.863807,118.6,13.0,41.889
38:16.0,-1.664317,52.863843,118.5,15.2,41.893
38:17.0,-1.66429,52.863887,118.6,16.0,41.898
38:18.0,-1.664268,52.863925,118.6,15.4,41.902
38:19.0,-1.664245,52.863963,118.7,14.8,41.906
38:20.0,-1.664223,52.863999,118.7,14.6,41.91
38:21.0,-1.664201,52.864037,118.6,14.1,41.914
38:22.0,-1.664184,52.864064,118.6,10.6,41.917
38:23.0,-1.664168,52.86409,118.7,10.9,41.92
38:49.0,-1.663648,52.864958,118.7,13.3,42.017
38:50.0,-1.663626,52.864994,118.7,14.3,42.02
38:51.0,-1.663611,52.865019,118.5,10.7,42.023
38:52.0,-1.663595,52.865046,118.6,10.0,42.026
38:53.0,-1.66358,52.865071,118.5,10.7,42.029
38:54.0,-1.663563,52.865099,118.6,11.2,42.032
38:55.0,-1.663545,52.865129,118.6,11.2,42.035
38:56.0,-1.663528,52.865157,118.5,13.2,42.039
38:57.0,-1.663504,52.865198,118.6,14.7,42.043
38:58.0,-1.663485,52.86523,118.8,14.2,42.047
38:59.0,-1.663459,52.865273,118.9,15.7,42.051
39:00.0,-1.663444,52.865298,118.9,14.1,42.054
39:08.0,-1.663594,52.865048,119.2,17.2,42.026
39:09.0,-1.663573,52.865083,119.2,12.0,42.03
39:10.0,-1.663559,52.865106,119.4,9.7,42.033
39:11.0,-1.663545,52.86513,119.4,9.4,42.036
39:12.0,-1.66353,52.865154,119.4,9.1,42.038
39:13.0,-1.663517,52.865177,119.4,9.4,42.041
39:14.0,-1.6635,52.865204,119.4,11.0,42.044
39:15.0,-1.663484,52.865232,119.3,12.1,42.047
39:16.0,-1.663461,52.865269,119.4,13.4,42.051
39:17.0,-1.663445,52.865296,119.4,10.6,42.054
39:18.0,-1.663432,52.865318,119.3,12.7,42.056
39:34.0,-1.662804,52.866364,119.1,10.6,42.173
39:35.0,-1.662785,52.866395,119.2,12.7,42.176
39:36.0,-1.662769,52.866423,119.1,11.5,42.179
39:37.0,-1.662749,52.866456,119.2,12.6,42.183
39:38.0,-1.662729,52.866489,119.3,13.2,42.186
39:39.0,-1.662709,52.866522,119.3,13.2,42.19
39:40.0,-1.662691,52.866552,119.3,12.3,42.193
39:41.0,-1.662674,52.866581,119.2,13.1,42.197
39:42.0,-1.662653,52.866616,119.1,12.7,42.201
39:43.0,-1.662635,52.866646,119.4,11.9,42.204
39:44.0,-1.662614,52.866681,119.5,13.4,42.208
39:52.0,-1.662456,52.866944,119.4,13.2,42.237
39:53.0,-1.662437,52.866976,119.4,12.3,42.24
39:54.0,-1.662416,52.86701,119.4,13.4,42.244
39:55.0,-1.662399,52.867039,119.4,11.8,42.248
39:56.0,-1.662381,52.867069,119.4,12.0,42.251
39:57.0,-1.662365,52.867096,119.5,11.8,42.254
39:58.0,-1.662343,52.867133,119.4,13.6,42.258
39:59.0,-1.662325,52.867163,119.4,11.8,42.261
40:00.0,-1.662311,52.867186,119.5,9.7,42.264
40:01.0,-1.66229,52.867221,119.6,13.6,42.268
40:02.0,-1.662269,52.867256,119.4,14.8,42.272
40:03.0,-1.662253,52.867283,119.2,17.3,42.275
40:39.0,-1.661805,52.86803,119.4,14.7,42.358
40:40.0,-1.661787,52.868059,119.2,11.7,42.361
40:41.0,-1.661772,52.868084,119.2,9.9,42.363
40:42.0,-1.661755,52.868113,119.1,11.5,42.367
40:43.0,-1.661741,52.868136,119.0,9.4,42.369
40:44.0,-1.661728,52.868157,119.1,8.2,42.372
40:45.0,-1.661715,52.86818,119.1,9.3,42.374
40:46.0,-1.6617,52.868204,119.1,9.4,42.377
40:47.0,-1.661687,52.868227,119.1,9.2,42.379
40:48.0,-1.661672,52.868252,119.1,10.0,42.382
40:49.0,-1.661659,52.868272,119.0,10.2,42.384
41:11.0,-1.661326,52.868827,119.1,10.0,42.446
41:12.0,-1.661307,52.86886,119.0,13.1,42.45
41:13.0,-1.661285,52.868896,119.1,14.5,42.454
41:14.0,-1.661268,52.868925,119.3,11.6,42.457
41:15.0,-1.661253,52.86895,119.5,9.9,42.46
41:16.0,-1.661237,52.868977,119.6,10.8,42.463
41:17.0,-1.661221,52.869002,119.6,10.2,42.465
41:18.0,-1.661205,52.86903,119.5,10.9,42.468
41:19.0,-1.66119,52.869054,119.5,9.9,42.471
41:20.0,-1.661175,52.86908,119.4,10.3,42.474
41:21.0,-1.661159,52.869107,119.6,10.6,42.477
41:22.0,-1.661153,52.869116,119.7,9.5,42.478
41:35.0,-1.660933,52.869483,119.7,10.8,42.519
41:36.0,-1.660915,52.869512,119.6,11.7,42.522
41:37.0,-1.660894,52.869548,119.5,14.2,42.526
41:38.0,-1.660877,52.869576,119.5,11.3,42.529
41:39.0,-1.66086,52.869604,119.5,11.2,42.532
41:40.0,-1.660843,52.869633,119.4,11.5,42.535
41:41.0,-1.660828,52.869658,119.4,10.3,42.538
41:42.0,-1.660812,52.869684,119.3,10.3,42.541
41:43.0,-1.660797,52.869709,119.4,10.1,42.544
41:44.0,-1.660781,52.869737,119.4,10.9,42.547
41:45.0,-1.660765,52.869763,119.4,10.7,42.55
41:46.0,-1.660754,52.869781,119.3,11.6,42.552
42:23.0,-1.660169,52.870756,119.3,9.6,42.66
42:24.0,-1.660151,52.870785,119.4,11.9,42.663
42:25.0,-1.66013,52.870822,119.5,14.5,42.667
42:26.0,-1.660113,52.87085,119.5,11.1,42.67
42:27.0,-1.660093,52.870883,119.4,13.3,42.674
42:28.0,-1.660074,52.870914,119.3,12.6,42.678
42:29.0,-1.660057,52.870942,119.3,11.2,42.681
42:30.0,-1.660038,52.870974,119.4,12.6,42.684
42:31.0,-1.660021,52.871003,119.6,11.5,42.687
42:32.0,-1.660001,52.871036,119.6,13.5,42.691
42:33.0,-1.659985,52.871063,119.6,10.8,42.694
43:18.0,-1.659229,52.872323,119.6,11.4,42.834
43:19.0,-1.659215,52.872347,119.6,9.3,42.837
43:20.0,-1.659197,52.872376,119.5,11.7,42.84
43:21.0,-1.659177,52.872409,119.5,13.0,42.844
43:22.0,-1.659156,52.872445,119.4,14.6,42.848
43:23.0,-1.659133,52.872482,119.5,14.8,42.852
43:24.0,-1.65911,52.872521,119.7,15.7,42.856
43:25.0,-1.659088,52.872557,119.7,14.4,42.86
43:26.0,-1.659066,52.872595,119.6,15.0,42.864
43:27.0,-1.659043,52.872632,119.4,14.8,42.868
43:28.0,-1.65902,52.872671,119.3,15.5,42.873
43:48.0,-1.658624,52.873331,119.3,13.1,42.946
43:49.0,-1.658605,52.873362,119.4,12.5,42.949
43:50.0,-1.658584,52.873397,119.6,14.0,42.953
43:51.0,-1.658565,52.873429,119.6,12.9,42.957
43:52.0,-1.658542,52.873467,119.5,15.1,42.961
43:53.0,-1.65852,52.873504,119.3,14.9,42.965
43:54.0,-1.658497,52.873542,119.3,15.1,42.969
43:55.0,-1.658475,52.873579,119.1,14.9,42.973
43:56.0,-1.658452,52.873617,119.0,15.1,42.978
43:57.0,-1.658431,52.873653,119.1,14.1,42.982
43:58.0,-1.658409,52.87369,119.1,14.8,42.986
43:59.0,-1.658405,52.873697,119.3,14.1,42.987
44:36.0,-1.657416,52.875344,119.3,16.1,43.169
44:37.0,-1.657399,52.875373,119.3,11.6,43.173
44:38.0,-1.657384,52.875398,119.2,9.7,43.175
44:39.0,-1.657366,52.875428,119.3,12.0,43.179
44:40.0,-1.657347,52.875459,119.3,12.4,43.182
44:41.0,-1.657326,52.875494,119.3,14.0,43.186
44:42.0,-1.657305,52.87553,119.3,14.6,43.19
44:43.0,-1.657281,52.875569,119.2,15.6,43.194
44:44.0,-1.65726,52.875605,119.1,14.3,43.198
44:45.0,-1.657241,52.875635,119.3,12.1,43.202
44:46.0,-1.657228,52.875658,119.4,9.1,43.204
44:47.0,-1.657222,52.875667,119.6,9.4,43.205
45:06.0,-1.656796,52.876377,119.0,12.7,43.284
45:07.0,-1.656782,52.876401,119.0,9.8,43.287
45:08.0,-1.656766,52.876427,119.0,10.1,43.29
45:09.0,-1.656751,52.876452,119.0,10.2,43.292
45:10.0,-1.656735,52.87648,119.1,10.9,43.295
45:11.0,-1.656718,52.876508,119.2,11.4,43.299
45:12.0,-1.6567,52.876538,119.2,11.7,43.302
45:13.0,-1.656679,52.876573,119.2,14.9,43.306
45:14.0,-1.656655,52.876613,119.2,15.5,43.31
45:15.0,-1.656633,52.876649,119.1,14.8,43.314
45:16.0,-1.656608,52.87669,118.9,15.9,43.319
45:17.0,-1.656596,52.876711,118.8,14.9,43.321
45:49.0,-1.656007,52.877692,119.6,13.0,43.43
45:50.0,-1.655985,52.877729,119.6,14.6,43.434
45:51.0,-1.655962,52.877767,119.6,15.3,43.438
45:52.0,-1.655938,52.877807,119.5,16.0,43.443
45:53.0,-1.655917,52.877843,119.4,14.4,43.447
45:54.0,-1.655898,52.877875,119.4,12.7,43.45
45:55.0,-1.655877,52.877909,119.2,13.7,43.454
45:56.0,-1.655854,52.877948,119.2,15.6,43.458
45:57.0,-1.655832,52.877984,119.0,14.4,43.462
45:58.0,-1.655809,52.878022,118.8,15.1,43.467
45:59.0,-1.655786,52.878062,118.9,15.8,43.471
46:00.0,-1.655777,52.878076,118.9,14.4,43.473
46:26.0,-1.654799,52.879706,118.8,16.5,43.654
46:27.0,-1.654778,52.87974,118.8,13.5,43.657
46:28.0,-1.65476,52.879772,118.7,12.5,43.661
46:29.0,-1.654737,52.879809,118.6,15.0,43.665
46:30.0,-1.654715,52.879846,118.7,14.6,43.669
46:31.0,-1.654696,52.879877,118.7,12.6,43.673
46:32.0,-1.654679,52.879906,118.6,11.3,43.676
46:33.0,-1.65466,52.879938,118.6,12.9,43.679
46:34.0,-1.654643,52.879967,118.6,11.4,43.682
46:35.0,-1.654627,52.879993,118.5,10.5,43.685
46:36.0,-1.654614,52.880014,118.5,10.6,43.688
47:10.0,-1.654032,52.880984,118.5,10.3,43.795
47:11.0,-1.654013,52.881016,118.5,12.7,43.799
47:12.0,-1.653991,52.881052,118.5,14.6,43.803
47:13.0,-1.653972,52.881084,118.4,12.5,43.806
47:14.0,-1.653955,52.881113,118.4,11.7,43.81
47:15.0,-1.653939,52.881139,118.5,10.3,43.813
47:16.0,-1.653922,52.881168,118.5,11.7,43.816
47:17.0,-1.653902,52.881201,118.5,13.4,43.819
47:18.0,-1.653883,52.881232,118.5,12.3,43.823
47:19.0,-1.653862,52.881267,118.7,14.0,43.827
47:20.0,-1.653842,52.881301,118.6,13.6,43.831
47:21.0,-1.653835,52.881312,118.6,10.8,43.832
